featureid	Intercept	Subject[T.FAT_008]	Subject[T.FAT_012]	Subject[T.FAT_015]	Subject[T.FAT_020]	Subject[T.R01]	Subject[T.R02]	Subject[T.V1]	Subject[T.V2]	Subject[T.V3]	Donor[T.DS04]	Donor[T.FAT_DON_11]	Donor[T.FAT_DON_19]	Donor[T.FAT_DON_8]	Donor[T.SPB_T43]	Dataset[T.SPB18]	Dataset[T.VRIEZE12]	group[T.settle]	Time
K00134	0.907056833435015	0.0549413848684848	-0.636597947398057	-0.0291954326330055	0.456483413720032	1.51418159261034	0.770532046881858	1.8701881457284	1.8011277731186	1.87733358933157	0.695397550129138	1.11093521436514	0.46409305735842	2.0036871301265	-0.223091253677592	0.182606214208181	0.036715952565046	0.458867569224279	0.000468729773805077
K00140	-1.7687288273087	0.0131330180929721	0.415109633287559	0.294305677443899	-0.0671244959593805	-1.28004064306929	-0.908239694806394	-0.09339591970892	0.0184604938751258	-0.448853365643555	-0.996850920952119	0.0986019404775105	0.419493643486655	0.527502165946511	-0.0849418729936928	1.16421424738842	-0.313911708186297	0.92169954325382	-0.000327826698973244
K00145	0.569500828910784	0.0430583644674838	0.69045734294332	0.095465297728933	0.0957403679131476	1.08243797078416	0.463718687621299	0.339640765281009	0.386085968804935	0.340646692053741	0.790306383632861	1.55994677861991	1.39231928988711	0.715552912864235	1.31324266489388	-0.281569129305308	-0.39510622818294	0.348076124445837	0.00106048468713515
K00147	-0.416512762378736	0.0315465617941439	-0.458167375245919	0.0515592050851952	0.900396635079285	1.9677747274904	1.52916947516555	-0.025135011582089	0.0782098587280311	0.0817235191029968	0.610420519375048	0.97121370157065	0.0430246870161655	1.50442622772172	0.974699965080038	1.04982029787975	1.00173279445347	0.229181189791601	0.000620483199403221
K00156	-0.373172258209272	0.271104781703812	0.00665354617513192	0.184018368750967	-0.35013402507315	0.45706073298738	-0.122599805268106	-0.225856990723324	-0.171411472963711	-0.0490065138178406	0.310668283962451	-0.883435216342787	0.133916942322409	-0.11742289194152	-0.131094345489726	0.271878951711233	-0.270253690074114	-0.861422631187994	0.000178574363038475
K00161	-1.44395356364159	0.238153069095475	-0.541406245151391	0.232716913253225	-2.72158391282568	-2.55551829085066	-1.27408605304604	0.300988106818485	0.287076931787113	0.335711785094208	-1.36356786463336	-0.464443978463987	-2.71190551117643	-0.667766852465126	0.290773263534322	1.02285968653637	0.240887729336591	-1.4367717311221	9.34589302992173e-05
K00162	-0.60141513235478	0.269944994525772	-0.424431831756463	0.29147111895696	-1.11698473498831	-1.70222713694289	-1.27395653215295	-0.664783300070477	-0.666266847061535	-0.536219916804367	-1.36273167107181	-0.303337928449491	-1.07920997039064	-0.713612554755661	0.433297386726156	0.845815771741445	-0.709445627520708	-1.54857383225735	-0.000147343834593361
K00164	-2.36661991960911	0.336191623287064	-0.662765802064767	-0.0592275905309547	-1.94434017941962	-0.914796552512193	-1.76101949301606	-0.251246960072232	-0.238716322588345	0.060815997855133	-1.84979463193492	-0.181393918191771	-1.93466177777036	-0.728628797617409	1.55262493189217	0.584774607343252	-0.94907042581859	-0.591822604878504	0.00152933482293838
K00169	-0.88930723554997	0.275634973125321	0.402311681589255	0.249257559806265	-0.417761693453887	1.09669933572099	0.125081454840842	0.268455176444339	-0.0435964051956139	-0.146679572327667	0.777159267925463	-0.0109784571283855	1.52262529536501	0.425499068412331	0.226005783637777	0.420992249173696	-0.297358902285723	-0.781621258004267	0.000326751509950096
K00170	0.90752532594295	0.310420959071976	0.651993273576865	0.263613100081838	-0.440998921847442	-0.375283121022725	-0.129730547341165	-0.263853104023648	-0.679694819855114	-0.367875329716736	-0.335604434943952	-0.514575031196455	-0.337393017566049	-0.279271973457786	0.436805000861898	-0.168300396280711	-1.01967735786262	-1.02572200004633	0.000136374274537499
K00171	-0.17255554087071	0.130657880382401	0.138075589021812	0.195241565734304	-2.31897718713293	-0.940775832983995	0.254244124022666	-0.777078421024991	-0.494444746183773	-0.161856285794312	-0.538876956439771	-2.28660487810312	-2.30929878548368	0.788932429465798	-0.760454127231821	-0.764980739431803	-2.01376834709468	-1.29810176347073	0.000325559417054588
